,Company,Country,Location,Date,Rocket,Mission
1164,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",05/06/1973,Cosmos-2I (63SM),Cosmos 562
1165,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",06/06/1973,Voskhod,Cosmos 563
1166,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",08/06/1973,Cosmos-3M (11K65M),Cosmos 564 to 571
1167,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/06/1973,Voskhod,Cosmos 572
1168,Martin Marietta,USA,"SLC-40, Cape Canaveral AFS, Florida, USA",12/06/1973,Titan III(23)C,DSP-4
1169,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/06/1973,Soyuz,Cosmos 573
1170,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",20/06/1973,Cosmos-3M (11K65M),Cosmos 574
1171,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",21/06/1973,Voskhod,Cosmos 575
1172,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",26/06/1973,Cosmos-3M (11K65M),Tselina-OM #20
1173,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",26/06/1973,Titan III(24)B,OPS 4018
1174,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",27/06/1973,Soyuz M,Cosmos 576
1175,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",04/07/1973,Voskhod,Zenit-4M nâ Â­50
1176,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",11/07/1973,Molniya-M /Block L,Molniya-2 nâ Â­34
1177,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",13/07/1973,Titan IIID,KH-9
1178,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",25/07/1973,Voskhod,Cosmos 577
1179,NASA,USA,"LC-39B, Kennedy Space Center, Florida, USA",28/07/1973,Saturn IB,Skylab 3
1180,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",01/08/1973,Voskhod,Cosmos 578
1181,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",21/08/1973,Voskhod,Cosmos 579
1182,Martin Marietta,USA,"SLC-4W, Vandenberg AFB, California, USA",21/08/1973,Titan-III(33)B Agena-D,Jumpseat 3
1183,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",22/08/1973,Cosmos-2I (63SM),Cosmos 580
1184,General Dynamics,USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",23/08/1973,Atlas-SLV3D Centaur-D1A,Intelsat 4 F7
1185,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",24/08/1973,Voskhod,Cosmos 581
1186,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",28/08/1973,Cosmos-3M (11K65M),Cosmos 582
1187,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",30/08/1973,Molniya-M /Block L,Molniya-1 nâ Â­35
1188,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",30/08/1973,Voskhod,Cosmos 583
1189,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",06/09/1973,Voskhod,Cosmos 584
1190,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",08/09/1973,Cosmos-3M (11K65M),Cosmos 585
1191,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",14/09/1973,Cosmos-3M (11K65M),Cosmos 586
1192,CASC,China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",18/09/1973,Feng Bao 1,JSSW-1
1193,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",21/09/1973,Soyuz U,Cosmos 587
1194,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/09/1973,Soyuz,Soyuz 12
1195,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",27/09/1973,Titan III(24)B,OPS 6275
1196,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",02/10/1973,Cosmos-3M (11K65M),Cosmos 588 to 595
1197,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",03/10/1973,Voskhod,Cosmos 596
1198,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",06/10/1973,Voskhod,Cosmos 597
1199,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",10/10/1973,Voskhod,Cosmos 598
1200,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/10/1973,Voskhod,Cosmos 599
