,Country,Company,Year,Rocket,MissionStatus,RocketStatus
354,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
355,USA,NASA,1965,Saturn I,Success,Retired
356,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
357,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
358,USA,General Dynamics,1965,Atlas-D OV1,Failure,Retired
359,USA,NASA,1965,Titan II GLV,Success,Retired
360,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
361,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
362,USA,Martin Marietta,1965,Titan IIIC,Success,Retired
363,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
364,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
365,Russia,RVSN USSR,1965,Cosmos-2I (63S1),Success,Retired
366,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Failure,Retired
367,Kazakhstan,RVSN USSR,1965,Vostok-2,Failure,Retired
368,Kazakhstan,RVSN USSR,1965,Cosmos-1 (65S3),Success,Retired
369,Kazakhstan,RVSN USSR,1965,Proton,Success,Retired
370,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
371,USA,General Dynamics,1965,Atlas-LV3 Agena-D,Success,Retired
372,Russia,RVSN USSR,1965,Cosmos-2I (63S1),Success,Retired
373,USA,NASA,1965,Saturn I,Success,Retired
374,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
375,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
376,USA,General Dynamics,1965,Atlas-LV3C Centaur-D,Success,Retired
377,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
378,USA,NASA,1965,Titan II GLV,Success,Retired
379,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
380,Kazakhstan,RVSN USSR,1965,Cosmos-1 (65S3),Success,Retired
381,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
382,Kazakhstan,RVSN USSR,1965,Cosmos-1 (65S3),Success,Retired
383,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
384,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
385,Kazakhstan,RVSN USSR,1965,Molniya-M /Block L,Success,Retired
386,USA,General Dynamics,1965,Atlas-D OV1,Success,Retired
387,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
388,USA,Martin Marietta,1965,Titan IIIC,Failure,Retired
389,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
390,Russia,RVSN USSR,1965,Cosmos-2I (63SM),Success,Retired
391,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Failure,Retired
392,Kazakhstan,RVSN USSR,1965,Voskhod,Success,Retired
393,Kazakhstan,RVSN USSR,1965,Proton,Success,Retired
394,Russia,RVSN USSR,1965,Cosmos-2I (63SM),Success,Retired
395,USA,General Dynamics,1965,Atlas-SLV3 Agena-D,Success,Retired
396,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
397,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
398,Kazakhstan,RVSN USSR,1965,Molniya,Partial Failure,Retired
399,Russia,RVSN USSR,1965,Cosmos-2I (63SM),Success,Retired
400,France,Armée de l'Air,1965,Diamant A,Success,Retired
401,Kazakhstan,RVSN USSR,1965,Vostok-2,Success,Retired
402,Kazakhstan,RVSN USSR,1965,Molniya,Success,Retired
403,USA,NASA,1965,Titan II GLV,Success,Retired
