,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Columna
2527,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",02/10/1990,05:39:00,Delta II 6925,USA-63 (GPS II-8),Retired,,Success,GPS II-8
2528,RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",04/10/1990,04:27:00,Zenit-2,Tselina-2 nâ Â­8,Retired,,Failure,
2529,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",05/10/1990,06:14:00,Long March 2C,FSW-1 No.3,Active,30.8,Success,
2530,NASA,"LC-39B, Kennedy Space Center, Florida, USA",06/10/1990,11:47:00,Space Shuttle Discovery,STS-41,Retired,450,Success,
2531,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",12/10/1990,22:58:00,Ariane 44L,"SBS-6, Galaxy-6",Retired,,Success,
2532,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/10/1990,05:39:00,Delta II 6925,Thor 1,Retired,,Success,
2533,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/10/1990,23:16:00,Delta II 6925,Inmarsat-2 F1,Retired,,Success,
2534,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",13/11/1990,00:37:00,Titan IV(402)A,DSP,Retired,,Success,
2535,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/11/1990,06:33:00,Tsyklon-2,Cosmos 2103,Retired,,Success,
2536,NASA,"LC-39A, Kennedy Space Center, Florida, USA",15/11/1990,23:48:00,Space Shuttle Atlantis,STS-38,Retired,450,Success,
2537,RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",20/11/1990,02:33:00,Molniya-M /Block 2BL,Cosmos 2105,Retired,,Success,
2538,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",20/11/1990,23:11:00,Ariane 42P,"Satcom C1, GStar-4",Retired,,Success,
2539,RVSN USSR,"Site 131/29, Baikonur Cosmodrome, Kazakhstan",20/11/1990,,Rokot/Briz K,GVM Demo Flight,Retired,,Success,
2540,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23/11/1990,03:51:00,Molniya-M /Block ML,Molniya-1 nâ Â­146,Retired,,Success,
2541,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/11/1990,21:39:00,Delta II 7925,USA-66 (GPS IIA-1),Retired,,Success,GPS IIA-1
2542,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/11/1990,,Tsyklon-3,Cosmos 2106,Retired,,Success,
2543,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",01/12/1990,15:57:00,Atlas-E/F Star-37S-ISS,DMSP F-10,Retired,,Success,
2544,NASA,"LC-39B, Kennedy Space Center, Florida, USA",02/12/1990,06:49:00,Space Shuttle Columbia,STS-35,Retired,450,Success,
2545,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",04/12/1990,00:48:00,Tsyklon-2,Cosmos 2107,Retired,,Success,
2546,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",10/12/1990,07:54:00,Cosmos-3M (11K65M),Cosmos 2112,Retired,,Success,
2547,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",22/12/1990,07:28:00,Tsyklon-3,Cosmos 2114 to 2119,Retired,,Success,
2548,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",08/01/1991,00:53:00,Delta II 7925,NATO 4A,Retired,,Success,
2549,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",15/01/1991,23:10:00,Ariane 44L,"Italsat-1, Eutelsat 2F2",Retired,,Success,
