Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Country
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",14/10/1987,Cosmos-3M (11K65M),Cosmos 1891,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",20/10/1987,Tsyklon-3,Cosmos 1892,Retired,Success,Russia
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",26/10/1987,Titan 34D,USA-27 (KH-11),Retired,Success,USA
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",21/11/1987,Ariane 2,TVSAT-1,Retired,Success,France
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",29/11/1987,Titan 34D,DSP-13,Retired,Success,USA
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",01/12/1987,Cosmos-3M (11K65M),Cosmos 1898,Retired,Success,Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",12/12/1987,Tsyklon-2,Cosmos 1900,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",15/12/1987,Cosmos-3M (11K65M),Cosmos 1902,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",20/12/1987,Cosmos-3MRB (65MRB),BOR-4 Shuttle,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",21/12/1987,Molniya-M /Block 2BL,Cosmos 1903,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",23/12/1987,Cosmos-3M (11K65M),Cosmos 1904,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",15/01/1988,Tsyklon-3,Cosmos 1909 to 1914,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/01/1988,Tsyklon-3,Meteor-2 n†­17,Retired,Success,Russia
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",03/02/1988,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F9,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",19/02/1988,H-I UM-129A (9SO),Sakura 3A,Retired,Success,Japan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",26/02/1988,Molniya-M /Block 2BL,Cosmos 1922,Retired,Success,Russia
CASC,"LC-3, Xichang Satellite Launch Center, China",07/03/1988,Long March 3,DFH-2A-T2,Retired,Success,China
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",11/03/1988,Cosmos-3M (11K65M),Cosmos 1924 to 1931,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/03/1988,Molniya-M /Block ML,Molniya-1 n†­130,Retired,Success,Kazakhstan
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",11/03/1988,Ariane 3,"Spacenet 3R, Telecom 1C",Retired,Success,France
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",14/03/1988,Tsyklon-2,Cosmos 1932,Retired,Success,Kazakhstan
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",15/03/1988,Tsyklon-3,Cosmos 1933,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",17/03/1988,Vostok-2M,IRS-1A,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",17/03/1988,Molniya-M /Block ML,Molniya-1 n†­131,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",22/03/1988,Cosmos-3M (11K65M),Cosmos 1934,Retired,Success,Russia
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",25/03/1988,Scout G1,San Marco 5,Retired,Success,Kenya
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05/04/1988,Cosmos-3M (11K65M),Cosmos 1937,Retired,Success,Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",20/04/1988,Vostok-2M,Cosmos 1939,Retired,Success,Kazakhstan
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",15/05/1988,Zenit-2,Cosmos 1943,Retired,Success,Kazakhstan
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",17/05/1988,Ariane 2,Intelsat 3AF13,Retired,Success,France
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",26/05/1988,Molniya-M /Block ML,Molniya-3 n†­132,Retired,Success,Russia
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",28/05/1988,Tsyklon-2,Cosmos 1949,Retired,Success,Kazakhstan
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/05/1988,Tsyklon-3,Cosmos 1950,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",01/06/1988,Tsyklon-3,Cosmos 1908,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",14/06/1988,Tsyklon-3,Cosmos 1953,Retired,Success,Russia
ESA,"ELA-2, Guiana Space Centre, French Guiana, France",15/06/1988,Ariane 44LP,"Meteosat 3, Panamsat-1, Oscar 13",Retired,Success,France
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",21/06/1988,Cosmos-3M (11K65M),Cosmos 1954,Retired,Success,Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",22/06/1988,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",05/07/1988,Tsyklon-3,Okean 1,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",14/07/1988,Cosmos-3M (11K65M),Cosmos 1958,Retired,Success,Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",18/07/1988,Cosmos-3M (11K65M),Cosmos 1959,Retired,Success,Russia
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",21/07/1988,Ariane 3,"Insat 1C, Eutelsat-1 F5",Retired,Success,France
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",26/07/1988,Tsyklon-3,Meteor-3 n†­2,Retired,Success,Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28/07/1988,Cosmos-3M (11K65M),Cosmos 1960,Retired,Success,Russia
ISRO,"SLV LP, Satish Dhawan Space Centre, India",31/07/1988,ASLV,SROSS-B,Retired,Failure,India
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",05/08/1988,Long March 2C,FSW-1 No.2,Active,Success,China
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",30/08/1988,Molniya-M /Block 2BL,Cosmos 1966,Retired,Success,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",02/09/1988,Titan 34D,USA-31 (Vortex),Retired,Partial Failure,USA
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",05/09/1988,Titan II(23)G,USA-32,Retired,Success,USA
CASC,"Taiyuan Satellite Launch Center, China",06/09/1988,Long March 4A,Fengyun 1A,Retired,Success,China
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",08/09/1988,Ariane 3,"GStar 5, SBS 5",Retired,Success,France
MHI,"LA-Y1, Tanegashima Space Center, Japan",16/09/1988,H-I UM-129A (9SO),Sakura 3B,Retired,Success,Japan
IAI,"Pad 1, Palmachim Airbase, Israel",19/09/1988,Shavit,Ofek-1,Retired,Success,Israel
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",24/09/1988,Atlas-E/F Star-37S-ISS,NOAA-H,Retired,Success,USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",29/09/1988,Molniya-M /Block ML,Molniya-3 n†­134,Retired,Success,Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA",29/09/1988,Space Shuttle Discovery,STS-26R,Retired,Success,USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",03/10/1988,Molniya-M /Block 2BL,Cosmos 1974,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",11/10/1988,Tsyklon-3,Cosmos 1975,Retired,Success,Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",25/10/1988,Molniya-M /Block 2BL,Cosmos 1977,Retired,Success,Russia
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",28/10/1988,Ariane 2,TDF-1,Retired,Success,France
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",06/11/1988,Titan 34D,USA-33 (KH-11),Retired,Success,USA
RVSN USSR,"Site 110/37, Baikonur Cosmodrome, Kazakhstan",15/11/1988,Energiya/Buran,Buran,Retired,Success,Kazakhstan
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",18/11/1988,Tsyklon-2,Cosmos 1979,Retired,Success,Kazakhstan
RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",23/11/1988,Zenit-2,Cosmos 1980,Retired,Success,Kazakhstan
NASA,"LC-39B, Kennedy Space Center, Florida, USA",02/12/1988,Space Shuttle Atlantis,STS-27R,Retired,Success,USA
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",11/12/1988,Ariane 44LP,"Skynet 4B, Astra 1A",Retired,Success,France
CASC,"LC-3, Xichang Satellite Launch Center, China",22/12/1988,Long March 3,DFH-2A-T3,Retired,Success,China
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",22/12/1988,Molniya-M /Block ML,Molniya-3 n†­135,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",23/12/1988,Tsyklon-3,Cosmos 1985,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28/12/1988,Molniya-M /Block ML,Molniya-1 n†­136,Retired,Success,Russia
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",27/01/1989,Ariane 2,Intelsat-5A 15,Retired,Success,France
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",10/02/1989,Tsyklon-3,Cosmos 1994 to 1999,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14/02/1989,Molniya-M /Block 2BL,Cosmos 2001,Retired,Success,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",14/02/1989,Delta II 6925,NAVSTAR II-1 (USA 35),Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",14/02/1989,Cosmos-3M (11K65M),Cosmos 2002,Retired,Success,Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/02/1989,Molniya-M /Block ML,Molniya-1 n†­137,Retired,Success,Kazakhstan
ISAS,"Mu Pad, Uchinoura Space Center, Japan",21/02/1989,Mu-III S2,Akebono,Retired,Success,Japan
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",22/02/1989,Cosmos-3M (11K65M),Cosmos 2004,Retired,Success,Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",26/02/1989,Cosmos-3M (11K65M),Cosmos 1992,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/02/1989,Tsyklon-3,Meteor-2 n†­18,Retired,Success,Russia
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",06/03/1989,Ariane 44LP,JCSAT-1 & Meteosat 4,Retired,Success,France
NASA,"LC-39B, Kennedy Space Center, Florida, USA",13/03/1989,Space Shuttle Discovery,STS-29R,Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",24/03/1989,Cosmos-3M (11K65M),Cosmos 2008 to 2015,Retired,Success,Russia
Douglas,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/03/1989,Delta 3920-8,Delta Star (USA 36),Retired,Success,USA
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",02/04/1989,Ariane 2,TELE-X,Retired,Success,France
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04/04/1989,Cosmos-3M (11K65M),Cosmos 2016,Retired,Success,Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA",04/05/1989,Space Shuttle Atlantis,STS-30R,Retired,Success,USA
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",10/05/1989,Titan 34D,USA-37 (Vortex),Retired,Success,USA
ISRO,"SLV LP, Satish Dhawan Space Centre, India",22/05/1989,ASLV,SROSS C,Retired,Partial Failure,India
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",05/06/1989,Ariane 44L,"Superbird-A, DFS-1",Retired,Success,France
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07/06/1989,Cosmos-3M (11K65M),Cosmos 2026,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",08/06/1989,Molniya-M /Block ML,Molniya-3 n†­138,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",09/06/1989,Tsyklon-3,Okean 2a,Retired,Failure,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",10/06/1989,Delta II 6925,NAVSTAR II-2,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",14/06/1989,Cosmos-3M (11K65M),Cosmos 2027,Retired,Success,Russia
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",14/06/1989,Titan IV(402)A,DSP,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",04/07/1989,Cosmos-3M (11K65M),Nadiezhda n†­4,Retired,Success,Russia
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",12/07/1989,Ariane 3,Olympus-1,Retired,Success,France
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/07/1989,Tsyklon-2,Cosmos 2033,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25/07/1989,Cosmos-3M (11K65M),Cosmos 2034,Retired,Success,Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA",08/08/1989,Space Shuttle Columbia,STS-28R,Retired,Success,USA
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",08/08/1989,Ariane 44LP,"TVSAT-2, Hipparcos",Retired,Success,France
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",18/08/1989,Delta II 6925,NAVSTAR II-3,Retired,Success,USA
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",27/08/1989,Delta II 6925,BSB-R1,Retired,Success,USA
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/08/1989,Tsyklon-3,Cosmos 2037,Retired,Success,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",04/09/1989,Titan 34D,DSCS-II-16 & DSCS-III-A2,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",05/09/1989,H-I UM-129A (6SO),Himawari 4,Retired,Success,Japan
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",06/09/1989,Titan II(23)G,USA-45,Retired,Success,USA
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",14/09/1989,Tsyklon-3,Cosmos 2038 to 2043,Retired,Success,Russia
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/09/1989,Atlas-G Centaur-D1AR,FLTSATCOM-8,Retired,Success,USA
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",27/09/1989,Molniya-M /Block ML,Molniya-1 n†­139,Retired,Success,Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",27/09/1989,Tsyklon-2,Cosmos 2046,Retired,Success,Kazakhstan
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/09/1989,Tsyklon-3,Intercosmos 24 & Magion 2,Retired,Success,Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA",18/10/1989,Space Shuttle Atlantis,STS-34R,Retired,Success,USA
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",24/10/1989,Tsyklon-3,Meteor-3 n†­3,Retired,Success,Russia
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",27/10/1989,Ariane 44L,Intelsat 6AF2,Retired,Success,France
NASA,"LC-39B, Kennedy Space Center, Florida, USA",23/11/1989,Space Shuttle Discovery,STS-33R,Retired,Success,USA
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",23/11/1989,Molniya-M /Block 2BL,Cosmos 2050,Retired,Success,Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24/11/1989,Tsyklon-2,Cosmos 2051,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",28/11/1989,Molniya-M /Block ML,Molniya-3 n†­140,Retired,Success,Russia
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",11/12/1989,Delta II 6925,NAVSTAR II-5,Retired,Success,USA
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",27/12/1989,Tsyklon-3,Cosmos 2053,Retired,Success,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",01/01/1990,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,Success,USA
NASA,"LC-39A, Kennedy Space Center, Florida, USA",09/01/1990,Space Shuttle Columbia,STS-32,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",18/01/1990,Cosmos-3M (11K65M),Cosmos 2056,Retired,Success,Russia
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",22/01/1990,Ariane 40,"SPOT-2, Oscar 14-19",Retired,Success,France
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",23/01/1990,Molniya-M /Block ML,Molniya-3 n†­141,Retired,Success,Russia
ISAS,"Mu Pad, Uchinoura Space Center, Japan",24/01/1990,Mu-III S2,Hiten,Retired,Success,Japan
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/01/1990,Delta II 6925,USA-50 (GPS II-6),Retired,Success,USA
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/01/1990,Tsyklon-3,Cosmos 2058,Retired,Success,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",30/01/1990,Delta II 6925,USA-64 (GPS II-9),Retired,Success,USA
CASC,"LC-3, Xichang Satellite Launch Center, China",04/02/1990,Long March 3,DFH-2A-T4,Retired,Success,China
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06/02/1990,Cosmos-3M (11K65M),Cosmos 2059,Retired,Success,Russia
MHI,"LA-Y1, Tanegashima Space Center, Japan",07/02/1990,H-I (9 SO),"Orizuru, Fuji 1b & Momo-1b",Retired,Success,Japan
MHI,"SLC-N, Tanegashima Space Center, Japan",07/02/1990,H-I (9 SO),MOS-1B / Oscar 20 / DEBUT,Retired,Success,Japan
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",14/02/1990,Delta II 6920-8,LACE / RME,Retired,Success,USA
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",22/02/1990,Ariane 44L,"Superbird-B, BS-2X",Retired,Failure,France
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",27/02/1990,Cosmos-3M (11K65M),Nadiezhda n†­5,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/02/1990,Tsyklon-3,Okean 2,Retired,Success,Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA",28/02/1990,Space Shuttle Atlantis,STS-36,Retired,Success,USA
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",14/03/1990,Commercial Titan III,Intelsat 603,Retired,Failure,USA
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/03/1990,Tsyklon-2,Cosmos 2060,Retired,Success,Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",20/03/1990,Cosmos-3M (11K65M),Cosmos 2061,Retired,Success,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/03/1990,Delta II 6925,USA-54 (GPS II-7),Retired,Success,USA
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",27/03/1990,Molniya-M /Block 2BL,Cosmos 2063,Retired,Success,Russia
IAI,"Pad 1, Palmachim Airbase, Israel",03/04/1990,Shavit,Ofek-2,Retired,Success,Israel
Northrop,"NB-52B Carrier, Edwards AFB, California, USA",05/04/1990,Pegasus,Pegsat & NavySat,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",06/04/1990,Cosmos-3M (11K65M),Cosmos 2064 to 2071,Retired,Success,Russia
CASC,"LC-3, Xichang Satellite Launch Center, China",07/04/1990,Long March 3,AsiaSat 1,Retired,Success,China
Lockheed,"SLC-3W, Vandenberg AFB, California, USA",11/04/1990,Atlas-E/F Altair,USA-56/57/58,Retired,Success,USA
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1990,Delta II 6925-8,Palapa B2R,Retired,Success,USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",20/04/1990,Cosmos-3M (11K65M),Cosmos 2074,Retired,Success,Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA",24/04/1990,Space Shuttle Discovery,STS-31,Retired,Success,USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25/04/1990,Cosmos-3M (11K65M),Cosmos 2075,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",26/04/1990,Molniya-M /Block ML,Molniya-1 n†­142,Retired,Success,Russia
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",28/04/1990,Molniya-M /Block 2BL,Cosmos 2076,Retired,Success,Russia
RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",22/05/1990,Zenit-2,Cosmos 2082,Retired,Success,Kazakhstan
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/06/1990,Delta II 6920-10,ROSAT,Retired,Success,USA
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",08/06/1990,Titan IV(405)A,SLDCOM & NOSS 3x,Retired,Success,USA
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",12/06/1990,Delta 4925-8,INSAT 1D,Retired,Success,USA
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",13/06/1990,Molniya-M /Block ML,Molniya-3 n†­143,Retired,Success,Russia
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21/06/1990,Molniya-M /Block 2BL,Cosmos 2084,Retired,Partial Failure,Russia
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",23/06/1990,Commercial Titan III,Intelsat 604,Retired,Success,USA
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",25/06/1990,Tsyklon-3,Meteor-2 n†­19,Retired,Success,Russia
CASC,"LC-2, Xichang Satellite Launch Center, China",16/07/1990,Long March 2E,"Optus-B, Badr-1, mass simulator",Retired,Success,China
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",24/07/1990,Ariane 44L,"TDF-2, DFS-2",Retired,Success,France
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",25/07/1990,Molniya-M /Block 2BL,Cosmos 2087,Retired,Success,Russia
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",25/07/1990,Atlas I,CRRES,Retired,Success,USA
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",30/07/1990,Tsyklon-3,Cosmos 2088,Retired,Success,Russia
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",08/08/1990,Tsyklon-3,Cosmos 2090 to 2095,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",10/08/1990,Molniya-M /Block ML,Molniya-1 n†­144,Retired,Success,Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",23/08/1990,Tsyklon-2,Cosmos 2096,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28/08/1990,Molniya-M /Block 2BL,Cosmos 2097,Retired,Success,Russia
MHI,"LA-Y1, Tanegashima Space Center, Japan",28/08/1990,H-I UM-129A (9SO),BS-3A,Retired,Success,Japan
MHI,"SLC-N, Tanegashima Space Center, Japan",28/08/1990,H-I (9 SO),BS-3A (Yuri-3A),Retired,Success,Japan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",28/08/1990,Cosmos-3M (11K65M),Cosmos 2098,Retired,Success,Russia
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",30/08/1990,Ariane 44L,"Skynet 4C, Eutelsat 2F1",Retired,Success,France
CASC,"Taiyuan Satellite Launch Center, China",03/09/1990,Long March 4A,Fengyun-1B,Retired,Success,China
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",14/09/1990,Cosmos-3M (11K65M),Cosmos 2100,Retired,Success,Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",20/09/1990,Molniya-M /Block ML,Molniya-3 n†­145,Retired,Success,Russia
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",28/09/1990,Tsyklon-3,Meteor-2 n†­20,Retired,Success,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",02/10/1990,Delta II 6925,USA-63 (GPS II-8),Retired,Success,USA
RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",04/10/1990,Zenit-2,Tselina-2 n†­8,Retired,Failure,Kazakhstan
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",05/10/1990,Long March 2C,FSW-1 No.3,Active,Success,China
NASA,"LC-39B, Kennedy Space Center, Florida, USA",06/10/1990,Space Shuttle Discovery,STS-41,Retired,Success,USA
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",12/10/1990,Ariane 44L,"SBS-6, Galaxy-6",Retired,Success,France
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/10/1990,Delta II 6925,Thor 1,Retired,Success,USA
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/10/1990,Delta II 6925,Inmarsat-2 F1,Retired,Success,USA
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",13/11/1990,Titan IV(402)A,DSP,Retired,Success,USA
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",14/11/1990,Tsyklon-2,Cosmos 2103,Retired,Success,Kazakhstan
NASA,"LC-39A, Kennedy Space Center, Florida, USA",15/11/1990,Space Shuttle Atlantis,STS-38,Retired,Success,USA
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",20/11/1990,Molniya-M /Block 2BL,Cosmos 2105,Retired,Success,Russia
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",20/11/1990,Ariane 42P,"Satcom C1, GStar-4",Retired,Success,France
RVSN USSR,"Site 131/29, Baikonur Cosmodrome, Kazakhstan",20/11/1990,Rokot/Briz K,GVM Demo Flight,Retired,Success,Kazakhstan
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23/11/1990,Molniya-M /Block ML,Molniya-1 n†­146,Retired,Success,Russia
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/11/1990,Delta II 7925,USA-66 (GPS IIA-1),Retired,Success,USA
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/11/1990,Tsyklon-3,Cosmos 2106,Retired,Success,Russia
