Country,Active,Retired,TotalCompaniesPerCountry,Company,Year,Rocket,MissionStatus,RocketStatus,Location,Date,Mission,SuccessfulLaunches,UnsuccessfulLaunches,SuccessToFailureRatio,SuccesfullLaunches,UnsuccessfullLaunches,TotalLaunches
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/12/1960,Korabl-Sputnik 3,,,,,,
USA,,,,NASA,,Scout X-1,,,"LA-3, Wallops Flight Facility, Virginia, USA",04/12/1960,Explorer (S-56),,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/12/1960,Discoverer 18,,,,,,
USA,,,,General Dynamics,,Atlas-D Able,,,"LC-12, Cape Canaveral AFS, Florida, USA",15/12/1960,Pioneer P-31,,,,,,
USA,,,,NASA,,Mercury-Redstone,,,"LC-5, Cape Canaveral AFS, Florida, USA",19/12/1960,Mercury-Redstone 1A (MR-1A),,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/12/1960,Discoverer 19,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22/12/1960,1K nâ Â­5 (Korabl-Sputnik 3),,,,,,
USA,,,,NASA,,Mercury-Redstone,,,"LC-5, Cape Canaveral AFS, Florida, USA",31/01/1961,Mercury-Redstone 2 (MR-2),,,,,,
USA,,,,General Dynamics,,Atlas-LV3 Agena-A,,,"SLC-3W, Vandenberg AFB, California, USA",31/01/1961,Samos 2,,,,,,
Kazakhstan,,,,RVSN USSR,,Molniya,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/02/1961,1VA nâ Â­1 (Venera 1),,,,,,
Kazakhstan,,,,RVSN USSR,,Molniya,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/02/1961,Venera 1,,,,,,
USA,,,,NASA,,Scout X-1,,,"LA-3, Wallops Flight Facility, Virginia, USA",16/02/1961,Explorer 9 (S-56A),,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17/02/1961,Discoverer 20,,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/02/1961,Discoverer 21,,,,,,
USA,,,,NASA,,Atlas-D Mercury,,,"LC-14, Cape Canaveral AFS, Florida, USA",21/02/1961,Mercury-Atlas 2 (MA-2),,,,,,
USA,,,,US Air Force,,Thor-DM21 Ablestar,,,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/02/1961,Transit 3B & Lofti 1,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09/03/1961,Korabl-Sputnik 4,,,,,,
USA,,,,NASA,,Mercury-Redstone,,,"LC-5, Cape Canaveral AFS, Florida, USA",24/03/1961,Mercury-Redstone BD (MR-BD),,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/03/1961,Korabl-Sputnik 5,,,,,,
USA,,,,US Air Force,,Thor DM-19 Delta,,,"SLC-17A, Cape Canaveral AFS, Florida, USA",25/03/1961,Explorer 10,,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/03/1961,Discoverer 22,,,,,,
USA,,,,US Air Force,,Thor DM-21 Agena-B,,,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08/04/1961,Discoverer 23,,,,,,
Kazakhstan,,,,RVSN USSR,,Vostok,,,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/04/1961,Vostok 1,,,,,,
USA,,,,NASA,,Atlas-D Mercury,,,"LC-14, Cape Canaveral AFS, Florida, USA",25/04/1961,Mercury-Atlas 3 (MA-3),,,,,,
